Station 501;;
1 jan 2015 - 22 nov 2015;;
per uur;;
;;
timestamp;evenrate;pressure
;[events/hour];[hPa]
1422792000;2660;988
1422795600;2676;989
1422799200;2740;990
1422802800;2760;991
1422806400;2706;992
1422810000;2784;993
1422813600;2688;993
1422817200;2549;994
1422820800;2679;995
1422824400;2688;995
1422828000;2729;995
1422831600;2594;996
1422835200;2686;996
1422838800;2695;996
1422842400;2542;997
1422846000;2495;997
1422849600;2606;997
1422853200;2702;997
1422856800;2545;997
1422860400;2709;997
1422864000;2592;998
1422867600;2634;998
1422871200;2705;999
1422874800;2541;998
1422878400;2567;998
1422882000;2570;998
1422885600;2556;998
1422889200;2495;999
1422892800;2588;999
1422896400;2678;999
1422900000;2619;999
1422903600;2620;999
1422907200;2615;999
1422910800;2506;999
1422914400;2549;999
1422918000;2532;999
1422921600;2585;999
1422925200;2564;999
1422928800;2527;999
1422932400;2664;999
1422936000;2502;1000
1422939600;2632;1000
1422943200;2614;1000
1422946800;2566;1001
1422950400;2498;1001
1422954000;2601;1002
1422957600;2488;1003
1422961200;2495;1003
1422964800;2484;1003
1422968400;2519;1003
1422972000;2453;1004
1422975600;2565;1004
1422979200;2536;1005
1422982800;2415;1005
1422986400;2521;1006
1422990000;2505;1007
1422993600;2466;1008
1422997200;2523;1008
1423000800;2400;1009
1423004400;2406;1010
1423008000;2511;1010
1423011600;2468;1010
1423015200;2497;1010
1423018800;2487;1010
1423022400;2411;1011
1423026000;2526;1011
1423029600;2503;1011
1423033200;2496;1012
1423036800;2447;1012
1423040400;2444;1013
1423044000;2305;1013
1423047600;2423;1013
1423051200;2380;1013
1423054800;2335;1014
1423058400;2336;1014
1423062000;2396;1015
1423065600;2326;1015
1423069200;2345;1016
1423072800;2329;1017
1423076400;2340;1018
1423080000;2362;1018
1423083600;2355;1019
1423087200;2360;1019
1423090800;2336;1019
1423094400;2392;1019
1423098000;2376;1019
1423101600;2321;1019
1423105200;2262;1019
1423108800;2335;1019
1423112400;2443;1019
1423116000;2314;1020
1423119600;2278;1021
1423123200;2258;1021
1423126800;2272;1022
1423130400;2188;1022
1423134000;2185;1023
1423137600;2320;1023
1423141200;2196;1023
1423144800;2302;1024
1423148400;2336;1024
1423152000;2237;1025
1423155600;2194;1025
1423159200;2227;1026
1423162800;2196;1027
1423166400;2204;1027
1423170000;2219;1027
1423173600;2258;1028
1423177200;2289;1028
1423180800;2141;1028
1423184400;2221;1028
1423188000;2196;1028
1423191600;2234;1028
1423195200;2215;1028
1423198800;2204;1028
1423202400;2222;1028
1423206000;2253;1029
1423209600;2151;1030
1423213200;2188;1029
1423216800;2188;1030
1423220400;2159;1030
1423224000;2148;1030
1423227600;2229;1030
1423231200;2118;1030
1423234800;2079;1030
1423238400;2213;1030
1423242000;2096;1030
1423245600;2108;1031
1423249200;2185;1031
1423252800;2125;1031
1423256400;2218;1031
1423260000;2220;1031
1423263600;2122;1032
1423267200;2118;1032
1423270800;2143;1032
1423274400;2148;1032
1423278000;2064;1032
1423281600;2173;1032
1423285200;2120;1032
1423288800;2076;1032
1423292400;2241;1032
1423296000;2146;1032
1423299600;2098;1032
1423303200;2170;1032
1423306800;2094;1032
1423310400;2168;1031
1423314000;2078;1031
1423317600;2106;1031
1423321200;2056;1031
1423324800;2092;1031
1423328400;2129;1030
1423332000;2116;1030
1423335600;2099;1030
1423339200;2121;1030
1423342800;2113;1030
1423346400;2073;1029
1423350000;2087;1028
1423353600;2215;1028
1423357200;2196;1028
1423360800;2192;1029
1423364400;2136;1029
1423368000;2050;1029
1423371600;2158;1029
1423375200;2110;1029
1423378800;2099;1030
1423382400;2220;1030
1423386000;2074;1031
1423389600;2141;1031
1423393200;2087;1032
1423396800;2088;1032
1423400400;2046;1032
1423404000;2052;1032
1423407600;2031;1032
1423411200;2085;1032
1423414800;2050;1032
1423418400;2078;1032
1423422000;2143;1032
1423425600;2082;1031
1423429200;2181;1031
1423432800;2068;1031
1423436400;2207;1030
1423440000;2059;1030
1423443600;2127;1029
1423447200;2171;1029
1423450800;2246;1028
1423454400;2143;1028
1423458000;2066;1028
1423461600;2191;1029
1423465200;2139;1028
1423468800;2146;1029
1423472400;2091;1029
1423476000;2076;1029
1423479600;2146;1029
1423483200;2215;1029
1423486800;2143;1028
1423490400;2189;1028
1423494000;2100;1028
1423497600;2131;1029
1423501200;2137;1029
1423504800;2162;1029
1423508400;2101;1029
1423512000;2127;1030
1423515600;2115;1030
1423519200;2138;1030
1423522800;2067;1030
1423526400;2182;1030
1423530000;2115;1030
1423533600;2064;1030
1423537200;2165;1030
1423540800;2113;1030
1423544400;2160;1030
1423548000;2163;1030
1423551600;2054;1031
1423555200;2124;1031
1423558800;2102;1031
1423562400;2110;1031
1423566000;2158;1031
1423569600;2173;1031
1423573200;2132;1031
1423576800;2112;1030
1423580400;2169;1030
1423584000;2142;1030
1423587600;2134;1030
1423591200;2237;1030
1423594800;2112;1030
1423598400;2064;1030
1423602000;2081;1030
1423605600;2047;1029
1423609200;2156;1028
1423612800;2218;1028
1423616400;2140;1028
1423620000;2228;1028
1423623600;2182;1027
1423627200;2159;1027
1423630800;2180;1026
1423634400;2120;1026
1423638000;2279;1026
1423641600;2241;1026
1423645200;2154;1026
1423648800;2154;1025
1423652400;2158;1025
